Date,DIS,GE,GILD,GOOGL,KMI,OIL,T,TSLA,WMT
2011-06-21,38.779999,18.086538,19.950001,246.74675,29.620001,29.620001,31.110001,27.530001,53.290001
2011-06-22,38.310001,17.846153,20.025,243.748749,29.620001,29.620001,30.879999,27.209999,53.009998
2011-06-23,37.82,17.673077,20.065001,240.350357,29.1,29.1,30.719999,27.709999,53.290001
2011-06-24,37.580002,17.278847,19.855,237.677673,28.6,28.6,30.440001,27.57,52.41
2011-06-27,38.07,17.576923,20.09,241.641647,28.26,28.26,30.76,27.459999,52.290001
2011-06-28,37.919998,17.73077,20.475,247.072067,28.299999,28.299999,31.02,28.110001,52.529999
2011-06-29,38.349998,17.846153,20.695,249.034027,28.4,28.4,31.26,28.290001,52.639999
2011-06-30,39.040001,18.134615,20.705,253.443451,28.73,28.73,31.41,29.129999,53.139999
2011-07-01,39.720001,18.461538,20.975,260.775787,29.27,29.27,31.68,29.02,53.509998
2011-07-05,39.970001,18.307692,20.785,266.486481,29.26,29.26,31.629999,29.139999,53.389999
2011-07-06,39.57,18.317308,21.125,267.947937,29.110001,29.110001,31.23,28.959999,53.720001
2011-07-07,39.740002,18.557692,21.344999,273.573578,28.98,28.98,31.23,29.73,54.490002
2011-07-08,39.91,18.259615,21.219999,266.261261,28.92,28.92,31.139999,28.809999,54.080002
2011-07-11,39.220001,17.913462,20.635,263.9039,28.360001,28.360001,30.799999,28.35,53.869999
2011-07-12,39.150002,17.673077,20.775,267.272278,28.17,28.17,30.77,28.17,53.939999
2011-07-13,39.560001,17.798077,20.805,269.399414,28.190001,28.190001,30.82,28.639999,54.02
2011-07-14,39.580002,17.817308,20.635,264.734741,28.030001,28.030001,30.58,27.610001,53.630001
2011-07-15,39.27,17.701923,20.5,299.1091,28.59,28.59,30.309999,27.58,53.630001
2011-07-18,38.75,17.586538,20.405001,297.767761,28.190001,28.190001,30.120001,27.23,53.32
2011-07-19,39.540001,17.865385,20.85,301.576569,28.35,28.35,30.33,27.889999,53.970001
2011-07-20,39.360001,18.067308,20.895,297.972961,28.5,28.5,30.23,28.690001,53.889999
2011-07-21,40.740002,18.423077,21.49,303.798798,28.51,28.51,30.280001,28.700001,54.470001
2011-07-22,40.650002,18.307692,21.605,309.424438,28.360001,28.360001,30.32,29.290001,54.52
2011-07-25,40.560001,18.23077,21.32,309.799805,27.5,27.5,29.91,28.49,53.970001
2011-07-26,40.509998,17.846153,21.08,311.571564,27.57,27.57,29.940001,28,53.59
2011-07-27,39.52,17.413462,21.485001,303.91391,28.18,28.18,29.959999,27.639999,53.25
2011-07-28,39.400002,17.413462,21.584999,305.775787,28.16,28.16,29.26,28.17,52.990002
2011-07-29,38.619999,17.221153,21.18,302.147156,28.23,28.23,29.26,28.17,52.709999
2011-08-01,38.439999,17.278847,20.76,303.68869,28.23,28.23,29.52,28.77,52.619999
2011-08-02,36.970001,16.548077,20.209999,296.49649,27.85,27.85,29.18,27.34,51.68
2011-08-03,37.43,16.798077,19.865,300.885895,27.719999,27.719999,29.5,27.200001,51.279999
